"siteID","lon_WGS84","lat_WGS84","ip","geometry"
"DM-BV-069",117.064949243412,-20.3324332241046,9.14623936329562e-07,c(-1753495.7795608, -2447978.09470691)
"DM-BV-070",117.037527110158,-20.3430268690951,9.14623936329562e-07,c(-1756160.92465189, -2449516.81694267)
"DM-BV-071",117.054777682544,-20.3311320408263,9.14623936329562e-07,c(-1754561.83759724, -2447978.09470691)
"DM-BV-072",117.060056825223,-20.3064227442303,9.14623936329562e-07,c(-1754384.16125783, -2445208.39468252)
"DM-BV-073",117.079307212939,-20.3286275187436,9.14623936329562e-07,c(-1752074.36884556, -2447362.6058126)
"DM-BV-074",117.056278729442,-20.3567101345681,9.14623936329562e-07,c(-1754028.80857902, -2450747.79473129)
"DM-BV-075",117.052684062415,-20.3336847354276,9.14623936329562e-07,c(-1754739.51393664, -2448285.83915406)
"DM-BV-076",117.063446633403,-20.3068564032593,9.14623936329562e-07,c(-1754028.80857902, -2445208.39468252)
"DM-BV-077",117.05727978737,-20.3737628732271,9.14623936329562e-07,c(-1753673.45590021, -2452594.26141421)
"DM-BV-078",117.040716726487,-20.3208701439485,9.14623936329562e-07,c(-1756160.92465189, -2447054.86136545)
"DM-BV-079",117.048293959196,-20.3161992865737,9.14623936329562e-07,c(-1755450.21929427, -2446439.37247114)
"DM-BV-080",117.055370393918,-20.3030026007271,9.14623936329562e-07,c(-1754917.19027605, -2444900.65023537)
"DM-BV-081",117.176304872466,-20.383888329256,1.16069919519435e-07,c(-1741278.80747353, -2452043.92232774)
"DM-BV-082",117.172020090025,-20.3121049496236,1.16069919519435e-07,c(-1742774.7887143, -2444270.57577915)
"DM-BV-083",117.296436453382,-20.3911728852832,1.16069919519435e-07,c(-1728812.29713373, -2451180.21715567)
"DM-BV-084",117.352112535908,-20.3744362288854,1.16069919519435e-07,c(-1723327.03258421, -2448589.10163948)
"DM-BV-085",117.119181795671,-20.3766216121555,1.16069919519435e-07,c(-1747262.73243663, -2452043.92232774)
"DM-BV-086",117.177887461922,-20.3049356249752,1.16069919519435e-07,c(-1742276.12830071, -2443406.87060709)
"DM-BV-087",117.382150383634,-20.4019501269381,1.16069919519435e-07,c(-1719836.40968907, -2451180.21715567)
"DM-BV-088",117.38873059556,-20.3552905094759,1.16069919519435e-07,c(-1719836.40968907, -2445997.98612328)
"DM-BV-089",117.177734287186,-20.40781824699,1.16069919519435e-07,c(-1740780.14705994, -2454635.03784393)
"DM-BV-090",117.130928610365,-20.3622857083096,1.16069919519435e-07,c(-1746265.41160945, -2450316.51198361)
"DM-BV-091",117.366765519308,-20.4079345574447,1.16069919519435e-07,c(-1721332.39092984, -2452043.92232774)
"DM-BV-092",117.380679764506,-20.3780226960039,1.16069919519435e-07,c(-1720335.07010266, -2448589.10163948)
"DM-BV-093",117.253924769232,-20.4174688772941,1.16069919519435e-07,c(-1732801.58044246, -2454635.03784393)
"DM-BV-094",117.300095504321,-20.3995492134058,1.16069919519435e-07,c(-1728313.63672013, -2452043.92232774)
"DM-BV-095",117.341864681944,-20.3098366202218,1.16069919519435e-07,c(-1725321.67423858, -2441679.46026296)
"DM-BV-096",117.403391562217,-20.3887836060325,1.16069919519435e-07,c(-1717841.7680347, -2449452.80681154)
"DM-BV-097",117.34079067664,-20.4517265013099,4.35250892432013e-08,c(-1723367.52248958, -2457178.51155169)
"DM-BV-098",117.339605606697,-20.3480926139681,4.35250892432013e-08,c(-1724997.49679158, -2445885.71832736)
"DM-BV-099",117.374310696601,-20.3265855487434,4.35250892432013e-08,c(-1721737.54818759, -2443062.52002128)
"DM-BV-100",117.149302835768,-20.3498909465387,4.35250892432013e-08,c(-1744557.18841547, -2448708.91663344)
"DM-BV-101",117.341995263078,-20.3871975713614,4.35250892432013e-08,c(-1724182.50964058, -2450120.51578649)
"DM-BV-102",117.343198538363,-20.3226764424546,4.35250892432013e-08,c(-1724997.49679158, -2443062.52002128)
"DM-BV-103",117.178080021348,-20.3147401712964,4.35250892432013e-08,c(-1742112.22696249, -2444474.11917432)
"DM-BV-104",117.185091718954,-20.4320647672965,4.35250892432013e-08,c(-1739667.2655095, -2457178.51155169)
"DM-BV-105",117.221746595297,-20.3358294387833,8.81633345272763e-08,c(-1737307.86967063, -2446170.97441485)
"DM-BV-106",117.241926402102,-20.311151120961,8.81633345272763e-08,c(-1735592.02422573, -2443199.04292636)
"DM-BV-107",117.220855784681,-20.3811091278277,8.81633345272763e-08,c(-1736735.921189, -2451124.19356233)
"DM-BV-108",117.289715437819,-20.4442850493821,8.81633345272763e-08,c(-1728728.64244616, -2457068.05653931)
"DM-BV-109",117.188998199129,-20.3316766159082,8.81633345272763e-08,c(-1740739.56056041, -2446170.97441485)
"DM-BV-110",117.184643993504,-20.4400757147662,8.81633345272763e-08,c(-1739595.66359715, -2458058.7003688)
"DM-BV-111",117.26034708623,-20.3770262340899,8.81633345272763e-08,c(-1732732.28181758, -2450133.54973283)
"DM-BV-112",117.326699496501,-20.4580215861474,8.81633345272763e-08,c(-1724725.00307475, -2458058.7003688)
"DM-BV-113",117.261222782053,-20.3317466318775,8.81633345272763e-08,c(-1733304.23029921, -2445180.33058535)
"DM-BV-114",117.199760273215,-20.4510729918788,8.81633345272763e-08,c(-1737879.81815226, -2459049.3441983)
"DM-BV-115",117.238506076085,-20.3742646864485,8.81633345272763e-08,c(-1735020.0757441, -2450133.54973283)
"DM-BV-116",117.334274983115,-20.4045022560677,8.81633345272763e-08,c(-1724725.00307475, -2452114.83739182)
"DM-BV-117",117.24777085214,-20.348201645153,8.81633345272763e-08,c(-1734448.12726247, -2447161.61824434)
"DM-BV-118",117.256934674201,-20.4401480879465,8.81633345272763e-08,c(-1732160.33333595, -2457068.05653931)
"DM-BV-119",117.322498489039,-20.4484139824911,8.81633345272763e-08,c(-1725296.95155638, -2457068.05653931)
"DM-BV-120",117.368718262564,-20.318057828229,8.81633345272763e-08,c(-1722437.20914823, -2442208.39909686)
